"taxonID","description","type","source","language"
"rinse-pathways-checklist:taxon:0b7deda89c2ce2b3d771dec643e4d446","cbd_2014_pathway:release","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29 | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02","en"
"rinse-pathways-checklist:taxon:0b7deda89c2ce2b3d771dec643e4d446","cbd_2014_pathway:escape","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29 | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02","en"
"rinse-pathways-checklist:taxon:0b7deda89c2ce2b3d771dec643e4d446","cbd_2014_pathway:natural_dispersal","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29 | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02","en"
"rinse-pathways-checklist:taxon:0b7deda89c2ce2b3d771dec643e4d446","cbd_2014_pathway:unaided","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29 | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02","en"
"rinse-pathways-checklist:taxon:0b8a1e5309557e6dd56fc9f4e0ed70e1","Europe (WGSRPD:1)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:0b8a1e5309557e6dd56fc9f4e0ed70e1","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:0b8a1e5309557e6dd56fc9f4e0ed70e1","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:0cc9b45fda909a172bd3a1448c8b77a2","Asia","native range","http://www.europe-aliens.org | http://www.issg.org/database | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02 | https://doi.org/10.3391/ai.2007.2.3.9","en"
"rinse-pathways-checklist:taxon:0cc9b45fda909a172bd3a1448c8b77a2","Europe (WGSRPD:1)","native range","http://www.europe-aliens.org | http://www.issg.org/database | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02 | https://doi.org/10.3391/ai.2007.2.3.9","en"
"rinse-pathways-checklist:taxon:0cc9b45fda909a172bd3a1448c8b77a2","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org | http://www.issg.org/database | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02 | https://doi.org/10.3391/ai.2007.2.3.9","en"
"rinse-pathways-checklist:taxon:0cc9b45fda909a172bd3a1448c8b77a2","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org | http://www.issg.org/database | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02 | https://doi.org/10.3391/ai.2007.2.3.9","en"
"rinse-pathways-checklist:taxon:0cc9b45fda909a172bd3a1448c8b77a2","cbd_2014_pathway:natural_dispersal","pathway","http://www.europe-aliens.org | http://www.issg.org/database | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02 | https://doi.org/10.3391/ai.2007.2.3.9","en"
"rinse-pathways-checklist:taxon:0cc9b45fda909a172bd3a1448c8b77a2","cbd_2014_pathway:unaided","pathway","http://www.europe-aliens.org | http://www.issg.org/database | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02 | https://doi.org/10.3391/ai.2007.2.3.9","en"
"rinse-pathways-checklist:taxon:0f7821492baab14713fb588382322dac","Northern America (WGSRPD:7)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:0f7821492baab14713fb588382322dac","Southern America (WGSRPD:8)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:0f7821492baab14713fb588382322dac","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:10bd400fc5e92eabc2c5f90a15f2519b","Northern America (WGSRPD:7)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1111/j.1365-2427.2010.02396.x | https://doi.org/10.3391/ai.2006.1.2.3","en"
"rinse-pathways-checklist:taxon:10bd400fc5e92eabc2c5f90a15f2519b","cbd_2014_pathway:release","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1111/j.1365-2427.2010.02396.x | https://doi.org/10.3391/ai.2006.1.2.3","en"
"rinse-pathways-checklist:taxon:10bd400fc5e92eabc2c5f90a15f2519b","cbd_2014_pathway:escape","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1111/j.1365-2427.2010.02396.x | https://doi.org/10.3391/ai.2006.1.2.3","en"
"rinse-pathways-checklist:taxon:10bd400fc5e92eabc2c5f90a15f2519b","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1111/j.1365-2427.2010.02396.x | https://doi.org/10.3391/ai.2006.1.2.3","en"
"rinse-pathways-checklist:taxon:10bd400fc5e92eabc2c5f90a15f2519b","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1111/j.1365-2427.2010.02396.x | https://doi.org/10.3391/ai.2006.1.2.3","en"
"rinse-pathways-checklist:taxon:10deca8e3e2a85e5d2acf3e872f0eab9","Asia","native range","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:10deca8e3e2a85e5d2acf3e872f0eab9","cbd_2014_pathway:release","pathway","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:11b654a397c2d79f8960dd987d796c61","Asia","native range","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:11b654a397c2d79f8960dd987d796c61","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:11b654a397c2d79f8960dd987d796c61","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:11b654a397c2d79f8960dd987d796c61","cbd_2014_pathway:natural_dispersal","pathway","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:11b654a397c2d79f8960dd987d796c61","cbd_2014_pathway:unaided","pathway","http://www.europe-aliens.org","en"
"rinse-pathways-checklist:taxon:11d1be4b8de79f3fc8c57787f846dc97","Southern America (WGSRPD:8)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm","en"
"rinse-pathways-checklist:taxon:11d1be4b8de79f3fc8c57787f846dc97","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm","en"
"rinse-pathways-checklist:taxon:11d1be4b8de79f3fc8c57787f846dc97","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm","en"
"rinse-pathways-checklist:taxon:12b4f403db2a517d779bddf0e62c98a9","Asia","native range","http://www.cabi.org/isc | http://www.europe-aliens.org | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:12b4f403db2a517d779bddf0e62c98a9","cbd_2014_pathway:release","pathway","http://www.cabi.org/isc | http://www.europe-aliens.org | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:12b4f403db2a517d779bddf0e62c98a9","cbd_2014_pathway:escape","pathway","http://www.cabi.org/isc | http://www.europe-aliens.org | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:1321aa8033d1d8cb7d3bea0ee50ce834","Europe (WGSRPD:1)","native range","http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://en.wikipedia.org/wiki/Main_Page","en"
"rinse-pathways-checklist:taxon:137f7b02687b525513c5c45130647084","Northern America (WGSRPD:7)","native range","http://www.cabi.org/isc | http://www.eppo.int/INVASIVE_PLANTS/ias_lists.htm | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf | http://www.nobanis.org | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:137f7b02687b525513c5c45130647084","cbd_2014_pathway:release","pathway","http://www.cabi.org/isc | http://www.eppo.int/INVASIVE_PLANTS/ias_lists.htm | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf | http://www.nobanis.org | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:137f7b02687b525513c5c45130647084","cbd_2014_pathway:natural_dispersal","pathway","http://www.cabi.org/isc | http://www.eppo.int/INVASIVE_PLANTS/ias_lists.htm | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf | http://www.nobanis.org | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:137f7b02687b525513c5c45130647084","cbd_2014_pathway:unaided","pathway","http://www.cabi.org/isc | http://www.eppo.int/INVASIVE_PLANTS/ias_lists.htm | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf | http://www.nobanis.org | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:13eee1331f9710bb25a636bf365fe5a4","Northern America (WGSRPD:7)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:13eee1331f9710bb25a636bf365fe5a4","Southern America (WGSRPD:8)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:13eee1331f9710bb25a636bf365fe5a4","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:142be25759aea50dbe71abc3398c5a9f","Asia","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:142be25759aea50dbe71abc3398c5a9f","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:14f0ef59e13a77a68895e3e1fbea46fa","Africa (WGSRPD:2)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:14f0ef59e13a77a68895e3e1fbea46fa","Asia","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:14f0ef59e13a77a68895e3e1fbea46fa","Northern America (WGSRPD:7)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:14f0ef59e13a77a68895e3e1fbea46fa","Southern America (WGSRPD:8)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:14f0ef59e13a77a68895e3e1fbea46fa","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:159105e01ea7854d813233e62bacd5df","Northern America (WGSRPD:7)","native range","www.animalbase.uni-goettingen.de","en"
"rinse-pathways-checklist:taxon:16cf9fdeb262c7dd423adba417555eab","Europe (WGSRPD:1)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:16cf9fdeb262c7dd423adba417555eab","cbd_2014_pathway:release","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:16cf9fdeb262c7dd423adba417555eab","cbd_2014_pathway:escape","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:16cf9fdeb262c7dd423adba417555eab","cbd_2014_pathway:escape_food_bait","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:16d1fad26b881be9dd431bc5935ddb07","Asia","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29","en"
"rinse-pathways-checklist:taxon:16d1fad26b881be9dd431bc5935ddb07","Europe (WGSRPD:1)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29","en"
"rinse-pathways-checklist:taxon:16d1fad26b881be9dd431bc5935ddb07","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29","en"
"rinse-pathways-checklist:taxon:16d1fad26b881be9dd431bc5935ddb07","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29","en"
"rinse-pathways-checklist:taxon:16d1fad26b881be9dd431bc5935ddb07","cbd_2014_pathway:natural_dispersal","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29","en"
"rinse-pathways-checklist:taxon:16d1fad26b881be9dd431bc5935ddb07","cbd_2014_pathway:unaided","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29","en"
"rinse-pathways-checklist:taxon:17ed0be3939bd336fda49ecc56141432","Africa (WGSRPD:2)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.repository.naturalis.nl/document/41874","en"
"rinse-pathways-checklist:taxon:17ed0be3939bd336fda49ecc56141432","Europe (WGSRPD:1)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.repository.naturalis.nl/document/41874","en"
"rinse-pathways-checklist:taxon:17ed0be3939bd336fda49ecc56141432","cbd_2014_pathway:stowaway","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.repository.naturalis.nl/document/41874","en"
"rinse-pathways-checklist:taxon:17ed0be3939bd336fda49ecc56141432","cbd_2014_pathway:contaminant","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.repository.naturalis.nl/document/41874","en"
"rinse-pathways-checklist:taxon:18a43f4f53bf4a304f2f6e9cd1eeed28","Southern America (WGSRPD:8)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:18a43f4f53bf4a304f2f6e9cd1eeed28","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:1967afef9650cfb72754f5d7c4491629","Asia","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:1967afef9650cfb72754f5d7c4491629","Europe (WGSRPD:1)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:1967afef9650cfb72754f5d7c4491629","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:196cc1018ce5e3848f30873384a89e42","Asia","native range","http://www.europe-aliens.org | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x","en"
"rinse-pathways-checklist:taxon:196cc1018ce5e3848f30873384a89e42","cbd_2014_pathway:release","pathway","http://www.europe-aliens.org | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://ias.biodiversity.be | http://www.nobanis.org | http://www.nederlandsesoorten.nl | https://doi.org/10.1111/j.1523-1739.2009.01249.x","en"
